Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
21/05/2015;15:00:00;0;0.4;3;98;8;55;0.5;19.3;50;1023;0.0
21/05/2015;16:00:00;0;0.5;3;99;20;54;0.5;19.3;49;1022;0.0
21/05/2015;17:00:00;0;0.3;2;99;7;53;0.5;18.3;53;1022;0.0
21/05/2015;18:00:00;0;0.5;3;98;17;54;0.4;17.9;55;1022;0.0
21/05/2015;19:00:00;0;0.4;4;92;8;53;0.2;17.0;59;1022;0.0
21/05/2015;20:00:00;0;0.3;9;84;9;111;0.1;15.4;67;1022;0.0
21/05/2015;21:00:00;0;0.6;15;78;10;119;0.1;14.8;70;1023;0.0
21/05/2015;22:00:00;0;0.2;5;83;8;114;0.2;14.7;71;1023;0.0
21/05/2015;23:00:00;0;0.3;9;75;6;114;0.3;13.9;76;1023;0.0
21/05/2015;0:00:00;0;0.2;1;93;7;113;0.2;14.7;73;1023;0.0
22/05/2015;1:00:00;0;0.2;2;90;9;102;0.1;15.3;71;1023;0.0
22/05/2015;2:00:00;0;0.4;25;48;10;107;0.1;14.7;78;1023;0.0
22/05/2015;3:00:00;0;0.4;19;53;13;113;0.2;14.0;82;1022;0.0
22/05/2015;4:00:00;0;0.2;3;72;13;109;0.1;13.8;81;1021;0.0
22/05/2015;5:00:00;0;0.9;9;55;11;114;0.1;14.0;79;1021;0.0
22/05/2015;6:00:00;0;3.5;26;39;11;109;0.1;14.5;78;1022;0.0
22/05/2015;7:00:00;0;2.1;20;59;8;67;0.2;17.2;65;1022;0.0
22/05/2015;8:00:00;0;2.5;19;76;10;45;0.2;19.0;59;1022;0.0
22/05/2015;9:00:00;0;2.8;16;84;12;51;0.5;19.6;59;1022;0.0
22/05/2015;10:00:00;0;0.4;4;97;9;53;0.6;19.6;63;1022;0.0
22/05/2015;11:00:00;0;0.9;5;100;9;52;0.8;19.7;66;1022;0.0
22/05/2015;12:00:00;0;0.7;3;105;12;54;0.8;20.2;63;1021;0.0
22/05/2015;13:00:00;0;0.7;3;104;16;53;0.8;20.4;62;1021;0.0
22/05/2015;14:00:00;0;0.6;3;104;10;53;0.8;20.6;57;1020;0.0
22/05/2015;15:00:00;0;0.5;4;107;26;55;0.5;21.8;49;1019;0.0
22/05/2015;16:00:00;0;0.7;5;108;20;53;0.4;21.9;53;1019;0.0
22/05/2015;17:00:00;0;0.3;5;108;19;59;0.3;20.4;54;1019;0.0
22/05/2015;18:00:00;0;0.4;3;109;13;78;0.2;19.9;54;1019;0.0
22/05/2015;19:00:00;0;0.5;9;102;13;95;0.1;18.4;54;1019;0.0
22/05/2015;20:00:00;0;0.2;15;85;13;105;0.1;16.4;69;1019;0.0
22/05/2015;21:00:00;0;0.5;11;95;19;104;0.2;16.3;65;1019;0.0
22/05/2015;22:00:00;0;0.3;7;99;12;110;0.2;16.0;66;1019;0.0
22/05/2015;23:00:00;0;0.3;12;88;19;111;0.2;15.5;70;1019;0.0
22/05/2015;0:00:00;0;0.3;10;93;17;105;0.2;15.8;68;1019;0.0
23/05/2015;1:00:00;0;0.2;3;104;18;103;0.2;15.9;64;1018;0.0
23/05/2015;2:00:00;0;0.4;14;77;20;101;0.1;15.2;69;1018;0.0
23/05/2015;3:00:00;0;0.6;25;56;13;106;0.2;14.2;76;1017;0.0
23/05/2015;4:00:00;1;26.6;39;44;17;98;0.1;14.4;73;1017;0.0
23/05/2015;5:00:00;15;79.5;78;5;29;97;0.1;14.4;76;1017;0.0
23/05/2015;6:00:00;18;38.3;65;15;24;56;0.1;15.8;68;1017;0.0
23/05/2015;7:00:00;39;75.2;72;14;18;44;0.3;18.3;60;1017;0.0
23/05/2015;8:00:00;14;40.8;66;28;21;43;0.4;19.8;54;1017;0.0
23/05/2015;9:00:00;12;40.9;66;40;15;49;0.5;21.2;51;1017;0.0
23/05/2015;10:00:00;3;1.8;9;105;10;69;0.4;24.7;27;1017;0.0
23/05/2015;11:00:00;1;0.3;2;115;10;62;0.4;24.9;23;1017;0.0
23/05/2015;12:00:00;1;0.2;4;111;14;66;0.5;25.3;27;1016;0.0
23/05/2015;13:00:00;1;0.4;3;109;12;60;0.4;25.7;24;1016;0.0
23/05/2015;14:00:00;0;0.3;2;102;7;61;0.3;26.2;22;1016;0.0
23/05/2015;15:00:00;0;0.3;2;103;8;61;0.3;25.9;22;1015;0.0
23/05/2015;16:00:00;0;0.0;2;103;10;58;0.3;25.0;22;1015;0.0
23/05/2015;17:00:00;0;0.5;2;100;7;69;0.2;23.1;25;1015;0.0
23/05/2015;18:00:00;0;0.4;2;99;6;85;0.1;21.8;27;1015;0.0
23/05/2015;19:00:00;0;0.1;6;94;6;94;0.1;20.3;31;1015;0.0
23/05/2015;20:00:00;0;0.5;17;82;10;107;0.1;18.9;39;1016;0.0
